,NH3,ALCOHOL,CO2,NH4,TEMPERATURE,HUMIDITY,Type,Class,Class1
1,0.59,0,0.14,0.35,30,18,A,1,0
2,0.58,0,0.13,0.35,30,18,A,1,0
3,0.58,0,0.17,0.36,29,16,A,1,0
4,0.59,0,0.18,0.4,29,16,A,1,0
5,0.59,0,0.15,0.34,30,16,A,1,0
6,0.57,0,0.15,0.35,30,16,A,1,0
7,0.59,0,0.16,0.36,30,16,A,1,0
8,0.59,0,0.17,0.38,30,16,A,1,0
9,0.6,0,0.16,0.36,30,16,A,1,0
10,0.62,0,0.16,0.36,30,16,A,1,0
11,0.57,0,0.15,0.35,30,16,A,1,0
12,0.57,0,0.15,0.34,30,16,A,1,0
13,0.59,0,0.16,0.36,30,16,A,1,0
14,0.59,0,0.15,0.34,30,16,A,1,0
15,0.58,0,0.16,0.35,30,16,A,1,0
16,0.61,0,0.14,0.33,30,16,A,1,0
17,0.59,0,0.14,0.33,30,16,A,1,0
18,0.61,0,0.15,0.33,30,16,A,1,0
19,0.59,0,0.14,0.33,30,16,A,1,0
20,0.61,0,0.15,0.33,30,16,A,1,0
21,0.59,0,0.14,0.33,30,16,A,1,0
22,0.59,0,0.14,0.33,30,16,A,1,0
23,0.59,0,0.14,0.33,30,16,A,1,0
24,0.62,0,0.15,0.33,30,16,A,1,0
25,0.58,0,0.14,0.33,30,16,A,1,0
26,0.61,0,0.15,0.33,30,16,A,1,0
27,0.58,0,0.15,0.34,30,16,A,1,0
28,0.61,0,0.15,0.34,30,16,A,1,0
29,0.62,0,0.14,0.35,30,16,A,1,0
30,0.62,0,0.15,0.34,30,16,A,1,0
31,0.59,0,0.14,0.33,30,16,A,1,0
32,0.59,0,0.14,0.33,30,16,A,1,0
33,0.59,0,0.14,0.33,30,16,A,1,0
34,0.62,0,0.15,0.33,30,16,A,1,0
35,0.58,0,0.14,0.33,30,16,A,1,0
36,0.61,0,0.15,0.33,30,16,A,1,0
37,0.59,0,0.14,0.33,30,16,A,1,0
38,0.58,0,0.17,0.36,29,16,A,1,0
39,0.59,0,0.18,0.4,29,16,A,1,0
40,0.59,0,0.15,0.34,30,16,A,1,0
41,0.57,0,0.15,0.35,30,16,A,1,0
42,0.59,0,0.14,0.33,30,16,A,1,0
43,0.59,0,0.16,0.36,30,16,A,1,0
44,0.59,0,0.15,0.34,30,16,A,1,0
45,0.58,0,0.16,0.35,30,16,A,1,0
46,0.61,0,0.14,0.33,30,16,A,1,0
47,0.59,0,0.15,0.34,30,16,A,1,0
48,0.57,0,0.15,0.35,30,16,A,1,0
49,0.59,0,0.16,0.36,30,16,A,1,0
50,0.57,0,0.15,0.34,30,16,A,1,0
10A,0.59,0,0.16,0.36,30,16,A,1,0
10B,0.62,0,0.15,0.33,30,16,A,1,0
10C,0.58,0,0.14,0.33,30,16,A,1,0
10D,0.57,0,0.15,0.35,30,16,A,1,0
10E,0.59,0,0.14,0.33,30,16,A,1,0
1,3.93,0.01,1.76,2.86,28,28,B,1,0
2,3.93,0.01,1.76,2.86,28,28,B,1,0
3,3.68,0.01,1.84,2.97,28,28,B,1,0
4,5.14,0.01,2.12,3.36,28,26,B,1,0
5,4.08,0.01,1.88,3.05,28,26,B,1,0
6,4.3,0.01,1.95,3.12,28,27,B,1,0
7,4.3,0.01,1.92,3.08,28,27,B,1,0
8,3.98,0.01,1.84,2.97,28,27,B,1,0
9,3.98,0.01,1.89,3.05,28,28,B,1,0
10,4.3,0.01,1.95,3.12,28,28,B,1,0
11,4.53,0.01,1.98,3.28,28,28,B,1,0
12,3.98,0.01,1.91,3.28,28,28,B,1,0
13,4.53,0.01,1.92,3.38,28,28,B,1,0
14,4.65,0.01,1.98,3.16,28,28,B,1,0
15,4.65,0.01,1.92,3.08,28,28,B,1,0
16,4.89,0.01,1.95,3.12,28,28,B,1,0
17,4.89,0.01,1.92,3.08,28,28,B,1,0
18,4.53,0.01,1.84,2.97,28,27,B,1,0
19,4.65,0.01,1.84,2.97,28,26,B,1,0
20,4.77,0.01,1.87,3.01,28,26,B,1,0
21,5.14,0.01,1.95,3.12,28,26,B,1,0
22,4.89,0.01,1.89,3.05,28,27,B,1,0
23,4.89,0.01,1.89,3.05,28,26,B,1,0
24,4.53,0.01,1.79,2.9,29,25,B,1,0
25,5.14,0.01,1.89,3.05,29,25,B,1,0
26,5.54,0.01,1.83,2.95,28,23,B,1,0
27,5.68,0.01,1.95,3.12,28,23,B,1,0
28,5.42,0.01,1.95,3.16,28,23,B,1,0
29,5.42,0.01,1.95,3.16,28,23,B,1,0
30,4.53,0.01,1.84,2.97,28,27,B,1,0
31,5.42,0.01,1.95,3.16,28,23,B,1,0
32,3.93,0.01,1.76,2.86,28,28,B,1,0
33,3.68,0.01,1.84,2.97,28,28,B,1,0
34,5.14,0.01,2.12,3.36,28,26,B,1,0
35,4.08,0.01,1.88,3.05,28,26,B,1,0
36,4.89,0.01,1.89,3.05,28,27,B,1,0
37,4.89,0.01,1.89,3.05,28,26,B,1,0
38,4.53,0.01,1.79,2.9,29,25,B,1,0
39,5.14,0.01,1.89,3.05,29,25,B,1,0
40,4.53,0.01,1.92,3.38,28,28,B,1,0
41,4.65,0.01,1.98,3.16,28,28,B,1,0
42,4.65,0.01,1.92,3.08,28,28,B,1,0
43,4.89,0.01,1.95,3.12,28,28,B,1,0
44,5.14,0.01,1.89,3.05,29,25,B,1,0
45,5.54,0.01,1.83,2.95,28,23,B,1,0
46,5.68,0.01,1.95,3.12,28,23,B,1,0
47,4.3,0.01,1.95,3.12,28,28,B,1,0
48,4.53,0.01,1.98,3.28,28,28,B,1,0
49,3.98,0.01,1.91,3.28,28,28,B,1,0
50,4.89,0.01,1.89,3.05,28,27,B,1,0
10A,5.82,0.01,1.91,3.08,28,23,B,1,0
10B,5.97,0.01,1.92,3.08,28,24,B,1,0
10C,5.97,0.01,1.92,3.08,28,24,B,1,0
10D,5.68,0.01,1.92,3.08,28,26,B,1,0
10E,5.82,0.01,1.91,3.08,28,23,B,1,0
1,10.69,0.01,2.83,4.31,30,16,C,0,0
2,7.41,0.01,2.28,3.57,30,16,C,0,0
3,7.41,0.01,2.25,3.53,30,16,C,0,0
4,16.73,0.01,3.62,5.37,30,16,C,0,0
5,15.97,0.01,3.58,5.34,30,16,C,0,0
6,16.11,0.01,3.6,5.35,30,16,C,0,0
7,7.23,0.01,2.21,3.48,30,16,C,0,0
8,10.23,0.01,2.72,4.17,30,16,C,0,0
9,10.23,0.01,2.76,4.21,30,16,C,0,0
10,8.92,0.01,2.61,4.02,30,16,C,0,0
11,14.82,0.01,3.69,5.42,30,16,C,0,0
12,17.9,0.01,3.94,5.73,30,16,C,0,0
13,15.8,0.01,3.64,5.36,30,16,C,0,0
14,13.4,0.01,3.59,5.41,30,16,C,0,0
15,15.8,0.01,3.81,5.58,30,16,C,0,0
16,16.82,0.01,3.64,5.36,30,16,C,0,0
17,15.75,0.01,3.53,5.47,30,16,C,0,0
18,14.84,0.01,3.69,5.47,30,16,C,0,0
19,13.9,0.01,3.2,4.79,30,16,C,0,0
20,8.52,0.01,2.58,3.97,30,16,C,0,0
21,10.69,0.01,2.65,4.07,30,16,C,0,0
22,9.13,0.01,2.36,3.68,30,16,C,0,0
23,8.33,0.01,2.28,3.57,30,16,C,0,0
24,9.34,0.01,2.34,3.66,30,16,C,0,0
25,10.69,0.01,2.54,3.93,30,16,C,0,0
26,9.77,0.01,2.44,3.79,30,16,C,0,0
27,13.9,0.01,2.89,4.39,30,16,C,0,0
28,9.13,0.01,2.34,3.66,30,16,C,0,0
29,8.14,0.01,2.14,3.38,30,16,C,0,0
30,8.92,0.01,2.25,3.53,30,16,C,0,0
31,10.69,0.01,2.54,3.93,30,16,C,0,0
32,9.77,0.01,2.44,3.79,30,16,C,0,0
33,14.82,0.01,3.69,5.42,30,16,C,0,0
34,10.23,0.01,2.76,4.21,30,16,C,0,0
35,8.92,0.01,2.61,4.02,30,16,C,0,0
36,8.14,0.01,2.14,3.38,30,16,C,0,0
37,8.92,0.01,2.25,3.53,30,16,C,0,0
38,15.8,0.01,3.64,5.36,30,16,C,0,0
39,13.4,0.01,3.59,5.41,30,16,C,0,0
40,8.33,0.01,2.28,3.57,30,16,C,0,0
41,9.34,0.01,2.34,3.66,30,16,C,0,0
42,13.9,0.01,3.2,4.79,30,16,C,0,0
43,15.8,0.01,3.81,5.58,30,16,C,0,0
44,16.82,0.01,3.64,5.36,30,16,C,0,0
45,15.75,0.01,3.53,5.47,30,16,C,0,0
46,8.14,0.01,2.14,3.38,30,16,C,0,0
47,9.77,0.01,2.44,3.79,30,16,C,0,0
48,10.69,0.01,2.54,3.93,30,16,C,0,0
49,14.82,0.01,3.69,5.42,30,16,C,0,0
50,8.14,0.01,2.14,3.38,30,16,C,0,0
10A,12.21,0.01,2.54,3.93,30,16,C,0,0
10B,13.9,0.01,2.8,4.26,30,16,C,0,0
10C,11.69,0.01,2.47,3.84,30,16,C,0,0
10D,13.4,0.01,3.59,5.41,30,16,C,0,0
10E,14.82,0.01,3.69,5.42,30,16,C,0,0
1,33.13,0.01,5.82,8.03,27,17,D,0,1
2,26.26,0.01,4.74,6.73,27,17,D,0,1
3,37.13,0.01,5.85,8.07,27,17,D,0,1
4,22.4,0.01,4.36,6.26,27,17,D,0,1
5,19.84,0.01,3.6,5.3,27,17,D,0,1
6,26.78,0.01,4.83,6.84,27,17,D,0,1
7,26.26,0.01,4.74,6.73,27,17,D,0,1
8,19.84,0.01,3.6,5.3,27,17,D,0,1
9,33.77,0.01,4.48,6.4,27,17,D,0,1
10,21.52,0.01,4.25,6.13,27,17,D,0,1
11,37.13,0.01,5.85,8.07,27,17,D,0,1
12,21.52,0.01,4.25,6.13,27,17,D,0,1
13,37.13,0.01,5.85,8.07,27,17,D,0,1
14,22.4,0.01,4.36,6.26,27,17,D,0,1
15,26.26,0.01,4.74,6.73,27,17,D,0,1
16,19.84,0.01,3.6,5.3,27,17,D,0,1
17,26.78,0.01,4.83,6.84,27,17,D,0,1
18,20.25,0.01,3.62,5.33,27,17,D,0,1
19,32.51,0.01,4.45,6.37,27,17,D,0,1
20,21.09,0.01,3.74,5.48,27,17,D,0,1
21,20.67,0.01,3.64,5.36,27,17,D,0,1
22,22.4,0.01,4.36,6.26,27,17,D,0,1
23,21.09,0.01,3.74,5.48,27,17,D,0,1
24,31.89,0.01,5.44,7.57,27,17,D,0,1
25,33.77,0.01,4.48,6.4,27,17,D,0,1
26,19.44,0.01,3.55,5.24,27,17,D,0,1
27,22.4,0.01,4.36,6.26,27,17,D,0,1
28,24.75,0.01,4.59,6.54,27,17,D,0,1
29,32.51,0.01,4.45,6.37,27,17,D,0,1
30,31.89,0.01,5.44,7.57,27,17,D,0,1
31,19.44,0.01,3.55,5.24,27,17,D,0,1
32,22.86,0.01,4.42,6.33,27,17,D,0,1
33,24.75,0.01,4.59,6.54,27,17,D,0,1
34,19.44,0.01,3.55,5.24,27,17,D,0,1
35,32.51,0.01,4.45,6.37,27,17,D,0,1
36,20.67,0.01,3.64,5.36,27,17,D,0,1
37,33.77,0.01,4.48,6.4,27,17,D,0,1
38,30.1,0.01,5.44,7.57,27,17,D,0,1
39,25.75,0.01,4.71,6.69,27,17,D,0,1
40,19.05,0.01,3.48,5.15,27,17,D,0,1
41,22.86,0.01,4.42,6.33,27,17,D,0,1
42,30.1,0.01,5.44,7.57,27,17,D,0,1
43,20.25,0.01,3.99,5.8,27,17,D,0,1
44,33.13,0.01,4.48,6.4,27,17,D,0,1
45,20.67,0.01,3.64,5.36,27,17,D,0,1
46,19.05,0.01,3.48,5.15,27,17,D,0,1
47,21.52,0.01,3.64,5.36,27,17,D,0,1
48,30.1,0.01,5.44,7.57,27,17,D,0,1
49,19.05,0.01,3.48,5.15,27,17,D,0,1
50,22.86,0.01,4.42,6.33,27,17,D,0,1
10A,31.89,0.01,5.44,7.57,27,17,D,0,1
10B,24.75,0.01,4.59,6.54,27,17,D,0,1
10C,33.13,0.01,5.82,8.03,27,17,D,0,1
10D,26.78,0.01,4.83,6.84,27,17,D,0,1
10E,25.75,0.01,4.71,6.69,27,17,D,0,1
1,28.96,0.01,3.99,5.8,29,16,F,0,2
2,24.75,0.01,3.57,5.27,29,16,F,0,2
3,43.9,0.01,5.05,7.1,29,16,F,0,2
4,21.52,0.01,3.75,5.45,29,16,F,0,2
5,22.86,0.01,3.89,5.67,29,16,F,0,2
6,25.25,0.01,4.04,5.86,29,16,F,0,2
7,27.31,0.01,4.25,6.13,29,16,F,0,2
8,33.18,0.01,4.77,6.76,29,16,F,0,2
9,31.89,0.01,4.65,6.62,29,16,F,0,2
10,23.32,0.01,3.84,5.61,29,16,F,0,2
11,22.86,0.01,3.69,5.42,29,16,F,0,2
12,31.89,0.01,4.74,6.73,29,16,F,0,2
13,27.85,0.01,4.35,6.47,29,16,F,0,2
14,28.4,0.01,4.5,6.44,29,16,F,0,2
15,23.79,0.01,4.34,6.23,29,16,F,0,2
16,24.27,0.01,4.36,6.26,29,16,F,0,2
17,34.42,0.01,5.01,7.06,29,16,F,0,2
18,28.96,0.01,4.95,6.99,29,16,F,0,2
19,26.26,0.01,5.27,7.37,29,16,F,0,2
20,25.75,0.01,5.21,7.29,29,16,F,0,2
21,26.26,0.01,5.24,7.33,29,16,F,0,2
22,23.79,0.01,5.01,7.06,29,16,F,0,2
23,27.9,0.01,4.36,6.26,29,16,F,0,2
24,27.18,0.01,4.25,6.13,29,16,F,0,2
25,26.82,0.01,4.23,6.09,29,16,F,0,2
26,28.28,0.01,4.45,6.37,29,16,F,0,2
27,28.66,0.01,4.42,6.33,29,16,F,0,2
28,29.44,0.01,4.53,6.47,29,16,F,0,2
29,29.84,0.01,4.62,6.58,29,16,F,0,2
30,30.25,0.01,4.65,6.62,29,16,F,0,2
31,26.26,0.01,4.77,6.76,29,16,F,0,2
32,25.75,0.01,4.62,6.58,29,16,F,0,2
33,24.75,0.01,4.65,6.62,29,16,F,0,2
34,23.79,0.01,4.65,6.62,29,16,F,0,2
35,25.25,0.01,4.95,6.99,29,16,F,0,2
36,27.85,0.01,5.27,7.37,29,16,F,0,2
37,31.89,0.01,5.61,7.78,29,16,F,0,2
38,37.83,0.01,6.04,8.29,29,16,F,0,2
39,35.08,0.01,6,8.25,29,16,F,0,2
40,35.75,0.01,6.04,8.29,29,16,F,0,2
41,30.69,0.01,5.08,7.14,29,16,F,0,2
42,30.1,0.01,5.01,7.06,29,16,F,0,2
43,24.75,0.01,4.53,6.47,29,16,F,0,2
44,24.75,0.01,4.59,6.54,29,16,F,0,2
45,30.28,0.01,4.15,5.99,29,16,F,0,2
46,30.25,0.01,4.12,5.96,29,16,F,0,2
47,24.75,0.01,3.94,5.73,29,16,F,0,2
48,23.79,0.01,3.91,5.7,29,16,F,0,2
49,31.92,0.01,5.38,7.26,29,16,F,0,2
50,23.79,0.01,3.91,5.7,29,16,F,0,2
10A,30.69,0.01,4.71,6.69,29,16,F,0,2
10B,29.52,0.01,4.36,6.26,29,16,F,0,2
10C,33.13,0.01,4.65,6.62,29,16,F,0,2
10D,29.52,0.01,4.59,6.54,29,16,F,0,2
10E,28.96,0.01,4.31,6.2,29,16,F,0,2
1,38.96,0.01,6.36,8.66,32,16,H,0,2
2,50.01,0.01,7.99,10.27,32,16,H,0,2
3,42.51,0.01,6.88,9.26,32,16,H,0,2
4,56.64,0.01,6.5,8.83,32,16,H,0,2
5,49.01,0.01,5.82,8.03,32,16,H,0,2
6,43.9,0.01,5.61,7.78,32,16,H,0,2
7,50.1,0.01,6.44,8.75,32,16,H,0,2
8,44.72,0.01,5.47,7.61,32,16,H,0,2
9,46.4,0.01,5.68,7.86,32,16,H,0,2
10,42.31,0.01,5.47,7.61,32,16,H,0,2
11,43.1,0.01,5.54,7.7,32,16,H,0,2
12,45.55,0.01,5.68,7.86,32,16,H,0,2
13,45.55,0.01,5.68,7.86,32,16,H,0,2
14,50.83,0.01,6.11,8.38,32,16,H,0,2
15,50.77,0.01,7.1,9.71,32,16,H,0,2
16,36.78,0.01,6.6,8.93,32,16,H,0,2
17,50.01,0.01,7.05,9.31,32,16,H,0,2
18,43.1,0.01,5.54,7.7,32,16,H,0,2
19,52.31,0.01,6.64,8.98,32,16,H,0,2
20,53.1,0.01,6.36,8.76,32,16,H,0,2
21,51.53,0.01,6.36,8.76,32,16,H,0,2
22,53.1,0.01,6.23,8.61,32,16,H,0,2
23,56.64,0.01,6.5,8.83,32,16,H,0,2
24,57.66,0.01,6.5,8.83,32,16,H,0,2
25,55.55,0.01,6.64,8.98,32,16,H,0,2
26,37.83,0.01,5.14,7.22,32,16,H,0,2
27,43.9,0.01,5.54,7.7,32,16,H,0,2
28,37.13,0.01,5.11,7.18,32,16,H,0,2
29,47.25,0.01,5.78,7.99,32,16,H,0,2
30,36.32,0.01,5.36,7.4,32,16,H,0,2
31,34.27,0.01,5.69,7.59,32,16,H,0,2
32,34.75,0.01,5.75,7.7,32,16,H,0,2
33,35.25,0.01,5.79,7.83,32,16,H,0,2
34,36.43,0.01,5.01,7.06,32,16,H,0,2
35,49.01,0.01,5.96,8.2,32,16,H,0,2
36,52.7,0.01,6.26,8.56,32,16,H,0,2
37,53.66,0.01,6.26,8.56,32,16,H,0,2
38,51.76,0.01,6.19,8.47,32,16,H,0,2
39,51.76,0.01,6.19,8.47,32,16,H,0,2
40,52.7,0.01,6.26,8.56,32,16,H,0,2
41,51.53,0.01,6.56,8.89,32,16,H,0,2
42,49.27,0.01,6.64,8.97,32,16,H,0,2
43,36.75,0.01,5.62,7.49,32,16,H,0,2
44,36.75,0.01,5.64,7.59,32,16,H,0,2
45,40.28,0.01,6.26,7.83,32,16,H,0,2
46,48.13,0.01,5.82,8.03,32,16,H,0,2
47,37.13,0.01,5.08,7.14,32,16,H,0,2
48,37.83,0.01,5.08,7.14,32,16,H,0,2
49,49.91,0.01,6.04,8.29,32,16,H,0,2
50,48.13,0.01,5.82,8.03,32,16,H,0,2
10A,50.77,0.01,6.56,8.66,32,16,H,0,2
10B,51.76,0.01,6.19,8.47,32,16,H,0,2
10C,51.53,0.01,6.64,8.75,32,16,H,0,2
10D,49.27,0.01,6.49,8.57,32,16,H,0,2
10E,46.43,0.01,6.53,8.61,32,16,H,0,2
1,40.28,0.01,6.26,7.83,28,16,I,0,2
2,50.77,0.01,7.1,9.71,28,16,I,0,2
3,43.9,0.01,5.61,7.78,28,16,I,0,2
4,57.66,0.01,6.5,8.83,28,16,I,0,2
5,50.1,0.01,6.44,8.75,28,16,I,0,2
6,45.55,0.01,5.68,7.86,28,16,I,0,2
7,50.77,0.01,7.1,9.71,28,16,I,0,2
8,45.55,0.01,5.68,7.86,28,16,I,0,2
9,47.25,0.01,5.78,7.99,28,16,I,0,2
10,43.1,0.01,5.54,7.7,28,16,I,0,2
11,43.9,0.01,5.54,7.7,28,16,I,0,2
12,46.65,0.01,5.78,7.95,28,16,I,0,2
13,46.43,0.01,6.53,8.61,28,16,I,0,2
14,51.53,0.01,6.36,8.76,28,16,I,0,2
15,51.77,0.01,7.14,9.82,28,16,I,0,2
16,37.13,0.01,5.11,7.18,28,16,I,0,2
17,52.31,0.01,6.64,8.98,28,16,I,0,2
18,43.9,0.01,5.54,7.7,28,16,I,0,2
19,53.33,0.01,6.74,9.14,28,16,I,0,2
20,53.66,0.01,6.26,8.56,28,16,I,0,2
21,52.31,0.01,6.64,8.98,28,16,I,0,2
22,54.13,0.01,6.33,8.78,28,16,I,0,2
23,57.66,0.01,6.5,8.83,28,16,I,0,2
24,58.46,0.01,6.56,8.89,28,16,I,0,2
25,56.64,0.01,6.5,8.83,28,16,I,0,2
26,38.83,0.01,5.25,7.54,28,16,I,0,2
27,47.25,0.01,5.78,7.99,28,16,I,0,2
28,37.83,0.01,5.14,7.22,28,16,I,0,2
29,48.25,0.01,5.82,8.12,28,16,I,0,2
30,36.89,0.01,5.57,7.61,28,16,I,0,2
31,36.75,0.01,5.62,7.49,28,16,I,0,2
32,36.75,0.01,5.64,7.59,28,16,I,0,2
33,37.25,0.01,5.99,7.97,28,16,I,0,2
34,37.83,0.01,5.14,7.22,28,16,I,0,2
